fbi_code,fbi_rank_by_f1,f1_score,feature_rank,feature_name,importance_score,feature_category,feature_description
15,1,0.909952606635071,1,neptune_longitude,0.0966979209013703,Traditional Planet,"Deception, illusion, and confusion"
15,1,0.909952606635071,2,aggression_eris_longitude,0.0839838927417705,Aggression Minor Planet,"Discord, strife, and chaos"
15,1,0.909952606635071,3,aggression_orcus_longitude,0.076483871339622,Aggression Minor Planet,Underworld punishment and retribution
15,1,0.909952606635071,4,pluto_longitude,0.0589805908351678,Traditional Planet,"Transformation, power, and death"
15,1,0.909952606635071,5,mayhem_chaos_longitude,0.0496223169688053,Mayhem Minor Planet,Disorder and unpredictable events
15,1,0.909952606635071,6,explosive_pholus_longitude,0.041282561082496,Explosive Minor Planet,Sudden release and escalation
15,1,0.909952606635071,7,north_node,0.0389076041138458,Lunar Node,Karmic path forward
15,1,0.909952606635071,8,saturn_longitude,0.0349671349740661,Traditional Planet,"Authority, structure, and limitation"
15,1,0.909952606635071,9,victims_pain_chiron_longitude,0.0299014222283586,Victim/Pain Minor Planet,"Wounded healer, victim experiences"
15,1,0.909952606635071,10,aggression_nessus_longitude,0.0220597814276134,Aggression Minor Planet,"Abuse, revenge, and violence"
15,1,0.909952606635071,11,sun_longitude,0.0181847063813669,Traditional Planet,Solar position - core vitality and ego
15,1,0.909952606635071,12,midheaven,0.0162558938578453,Astrological House,10th house cusp - career and reputation
15,1,0.909952606635071,13,uranus_longitude,0.015345888682369,Traditional Planet,"Revolution, innovation, and sudden change"
15,1,0.909952606635071,14,south_node,0.0150134831285134,Lunar Node,Karmic past
15,1,0.909952606635071,15,mercury_longitude,0.0141840253340795,Traditional Planet,Communication and mental activity
15,1,0.909952606635071,16,victims_pain_sedna_longitude,0.013211838864075,Victim/Pain Minor Planet,Astronomical position or factor
15,1,0.909952606635071,17,moon_distance,0.0116138899671686,Lunar Feature,Earth-Moon distance
15,1,0.909952606635071,18,moon_phase,0.0104971873951259,Lunar Feature,Lunar cycle phase (0-1)
15,1,0.909952606635071,19,moon_longitude,0.0102587999680964,Traditional Planet,Lunar position - emotions and cycles
15,1,0.909952606635071,20,jupiter_longitude,0.0101138147397435,Traditional Planet,"Expansion, luck, and philosophy"
15,1,0.909952606635071,21,ascendant,0.0100900340578998,Astrological House,Rising sign - personality mask
15,1,0.909952606635071,22,venus_longitude,0.0094598223568277,Traditional Planet,"Love, relationships, and values"
15,1,0.909952606635071,23,mayhem_rhiphonos_longitude,0.006544296692828,Mayhem Minor Planet,Astronomical position or factor
15,1,0.909952606635071,24,explosive_bombig_longitude,0.0058353000653784,Explosive Minor Planet,Astronomical position or factor
15,1,0.909952606635071,25,mars_longitude,0.0057654261129402,Traditional Planet,"Action, energy, and aggression"
15,1,0.909952606635071,26,aggression_kleinman_longitude,0.0054660703045456,Aggression Minor Planet,Astronomical position or factor
15,1,0.909952606635071,27,firearms_gunnie_longitude,0.0054087293395162,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,28,money_silver_longitude,0.0052283793318588,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,29,eclipse_proximity,0.0051298684661303,Eclipse Feature,Days from nearest eclipse
15,1,0.909952606635071,30,mayhem_apophis_longitude,0.0049195401552992,Mayhem Minor Planet,Astronomical position or factor
15,1,0.909952606635071,31,localization_chikako_longitude,0.0048169467250902,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,32,knives_cutillo_longitude,0.004595177356675,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,33,aggression_sekhmet_longitude,0.0045910102495986,Aggression Minor Planet,Astronomical position or factor
15,1,0.909952606635071,34,law_justice_justitia_longitude,0.0045538793587709,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,35,prostitution_lust_longitude,0.00454022060077,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,36,firearms_gunn_longitude,0.0044908260194552,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,37,death_kaali_longitude,0.004445773806167,Death Minor Planet,Astronomical position or factor
15,1,0.909952606635071,38,dishonesty_lie_longitude,0.0041906354679863,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,39,aggression_amphimachus_longitude,0.0040704021376257,Aggression Minor Planet,Astronomical position or factor
15,1,0.909952606635071,40,victims_pain_lacrimosa_longitude,0.0039898920287095,Victim/Pain Minor Planet,Astronomical position or factor
15,1,0.909952606635071,41,aggression_toro_longitude,0.0039769738791651,Aggression Minor Planet,Astronomical position or factor
15,1,0.909952606635071,42,explosive_salpeter_longitude,0.003965481155575,Explosive Minor Planet,Astronomical position or factor
15,1,0.909952606635071,43,aggression_balbastre_longitude,0.0039248371516522,Aggression Minor Planet,Astronomical position or factor
15,1,0.909952606635071,44,victims_pain_dejanira_longitude,0.0039208978772168,Victim/Pain Minor Planet,Astronomical position or factor
15,1,0.909952606635071,45,death_thisbe_longitude,0.0038798547031169,Death Minor Planet,Astronomical position or factor
15,1,0.909952606635071,46,aggression_thereus_longitude,0.0038450520207848,Aggression Minor Planet,Astronomical position or factor
15,1,0.909952606635071,47,firearms_shotwell_longitude,0.003811851113002,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,48,money_goldfinger_longitude,0.003801023086429,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,49,drugs_syringa_longitude,0.0037645169389544,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,50,death_pyramus_longitude,0.0037310439087383,Death Minor Planet,Astronomical position or factor
15,1,0.909952606635071,51,money_mony_longitude,0.0037022043071728,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,52,obstacles_alu_longitude,0.0036975624788591,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,53,death_crantor_longitude,0.00368972673271,Death Minor Planet,Astronomical position or factor
15,1,0.909952606635071,54,explosive_tl66_longitude,0.0036713162150052,Explosive Minor Planet,Astronomical position or factor
15,1,0.909952606635071,55,localization_chicago_longitude,0.0036442841804775,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,56,aggression_ate_longitude,0.0036252679303604,Aggression Minor Planet,Astronomical position or factor
15,1,0.909952606635071,57,drugs_pillmore_longitude,0.0036170747180263,Minor Planet,Astronomical position or factor
15,1,0.909952606635071,58,localization_cook_longitude,0.0035950278164912,Minor Planet,Astronomical position or factor
