fbi_code,feature,importance
01A,27,0.00031637900726587024
01A,sun_longitude,0.030936048785701876
01A,moon_longitude,0.02130135632955293
01A,mercury_longitude,0.03493642068793449
01A,venus_longitude,0.0212744625320019
01A,mars_longitude,0.009695830879960758
01A,jupiter_longitude,0.00791927219080498
01A,saturn_longitude,0.016566212297309084
01A,uranus_longitude,0.010235092781945138
01A,neptune_longitude,0.0167543721471951
01A,pluto_longitude,0.020806811138855918
01A,moon_phase,0.02404940934184917
01A,moon_distance,0.022191463162827035
01A,ascendant,0.032367228689939735
01A,midheaven,0.04099562874355223
01A,north_node,0.01357806865922292
01A,south_node,0.017063899404514107
01A,mercury_retrograde,0.0006443185771251571
01A,eclipse_proximity,0.012290523525686535
01A,aggression_eris_longitude,0.018007857324727053
01A,aggression_nessus_longitude,0.010630057572304156
01A,aggression_ate_longitude,0.007472616444900302
01A,aggression_orcus_longitude,0.02242966492393052
01A,aggression_amycus_longitude,0.00780357916117137
01A,aggression_thereus_longitude,0.007135276594279428
01A,aggression_kleinman_longitude,0.006747199541161821
01A,aggression_sekhmet_longitude,0.004976324053989417
01A,aggression_tyson_longitude,0.008088704205040124
01A,aggression_schubart_longitude,0.005848492153002004
01A,aggression_aristaeus_longitude,0.004708676946023658
01A,aggression_toro_longitude,0.00579791450777149
01A,aggression_amphimachus_longitude,0.01005806125793166
01A,aggression_balbastre_longitude,0.0060976190404517005
01A,mayhem_rhiphonos_longitude,0.00503153425389788
01A,mayhem_chaos_longitude,0.012782597346112161
01A,mayhem_phaeton_longitude,0.005967432388468591
01A,mayhem_wild_longitude,0.006207762689371582
01A,mayhem_hybris_longitude,0.005920731434974279
01A,mayhem_hel_longitude,0.008977981902041167
01A,mayhem_apophis_longitude,0.012163856403468913
01A,explosive_pholus_longitude,0.010850599947548249
01A,explosive_tl66_longitude,0.005442845348309566
01A,explosive_bomben_longitude,0.005351741455529771
01A,explosive_bombig_longitude,0.005636803922427131
01A,explosive_bam_longitude,0.006639760953316868
01A,explosive_salpeter_longitude,0.010303266766025438
01A,explosive_salpetriere_longitude,0.004912882500611351
01A,victims_pain_sedna_longitude,0.021867683822116905
01A,victims_pain_chiron_longitude,0.008028434066539686
01A,victims_pain_dejanira_longitude,0.005905162309360621
01A,victims_pain_nyctimene_longitude,0.005807050098906827
01A,victims_pain_sado_longitude,0.005914786840101939
01A,victims_pain_paine_longitude,0.006590600991938996
01A,victims_pain_lacrimosa_longitude,0.006969858695971012
01A,victims_pain_grieve_longitude,0.005160156320091624
01A,victims_pain_sisyphus_longitude,0.006323329456440404
01A,death_kaali_longitude,0.00549300666442634
01A,death_crantor_longitude,0.006086622603075813
01A,death_pyramus_longitude,0.0066014092801770065
01A,death_thisbe_longitude,0.006380025909180208
01A,death_eurydike_longitude,0.0064927989248652245
01A,firearms_gunn_longitude,0.005878998509833334
01A,firearms_gunnie_longitude,0.0067079088455625985
01A,firearms_gunma_longitude,0.006489627952006598
01A,firearms_shotwell_longitude,0.00570981223645011
01A,knives_cutts_longitude,0.0052819824185550085
01A,knives_cutillo_longitude,0.005841130468248515
01A,knives_sharp_longitude,0.006151328852274019
01A,prostitution_pylenor_longitude,0.006366775013541136
01A,prostitution_kythera_longitude,0.0058018109307595295
01A,prostitution_poutanen_longitude,0.005097999829272755
01A,prostitution_messalina_longitude,0.009871572214365723
01A,prostitution_slettebak_longitude,0.008224965220010289
01A,prostitution_lust_longitude,0.00651347201445395
01A,drugs_dionysus_longitude,0.0061863163616652
01A,drugs_bacchus_longitude,0.006727405879103626
01A,drugs_beer_longitude,0.004514161161879929
01A,drugs_syringa_longitude,0.007978832962595932
01A,drugs_syrinx_longitude,0.006603507670838853
01A,drugs_pillmore_longitude,0.005972520208595971
01A,drugs_datura_longitude,0.004534966171075352
01A,money_midas_longitude,0.0055294141238315985
01A,money_mony_longitude,0.0045780518972531594
01A,money_gold_longitude,0.006311527007935482
01A,money_golden_longitude,0.005950493511275507
01A,money_goldfinger_longitude,0.005490941814262514
01A,money_goldreich_longitude,0.008180695340858595
01A,money_silver_longitude,0.006758694087604017
01A,fire_pyrrhus_longitude,0.00669701535386482
01A,fire_burnett_longitude,0.006574200192349692
01A,fire_burney_longitude,0.008197358923465884
01A,fire_burns_longitude,0.005782355574615007
01A,fire_burnim_longitude,0.005997507600546001
01A,fire_fireman_longitude,0.007323895543341708
01A,obstacles_alu_longitude,0.006210893633089807
01A,obstacles_hinderer_longitude,0.006122149912001628
01A,obstacles_lysistrata_longitude,0.006272617304122557
01A,dishonesty_lie_longitude,0.006451118202035408
01A,dishonesty_swindle_longitude,0.005092298134711255
01A,dishonesty_cardea_longitude,0.00590759817598938
01A,computer_hack_longitude,0.005956450615718031
01A,computer_hackman_longitude,0.0067047522017398015
01A,law_justice_polizzi_longitude,0.005119750069047097
01A,law_justice_polit_longitude,0.005041079473467551
01A,law_justice_justitia_longitude,0.006803124080625463
01A,law_justice_dike_longitude,0.0055676140916352925
01A,law_justice_themis_longitude,0.005265954364784117
01A,law_justice_richthammer_longitude,0.006615119899382588
01A,localization_chicago_longitude,0.005814692797933334
01A,localization_chikako_longitude,0.005407613208461342
01A,localization_cook_longitude,0.006284362037737857
02,27,0.00012970686645056686
02,sun_longitude,0.025843376311052893
02,moon_longitude,0.030815178893028948
02,mercury_longitude,0.02555096419577972
02,venus_longitude,0.020305534173206366
02,mars_longitude,0.009565011004280779
02,jupiter_longitude,0.011922178238827845
02,saturn_longitude,0.01308331206188934
02,uranus_longitude,0.014878400915907402
02,neptune_longitude,0.011706165645340818
02,pluto_longitude,0.012832608416916611
02,moon_phase,0.02823775152267207
02,moon_distance,0.025577842115689857
02,ascendant,0.020639933434064225
02,midheaven,0.025068062418809278
02,north_node,0.014700319075223851
02,south_node,0.01891806017664691
02,mercury_retrograde,0.0009164133387079425
02,eclipse_proximity,0.012755991449387856
02,aggression_eris_longitude,0.016483607082797367
02,aggression_nessus_longitude,0.010448466624205975
02,aggression_ate_longitude,0.008569131828890346
02,aggression_orcus_longitude,0.009979668763739496
02,aggression_amycus_longitude,0.006725104914965073
02,aggression_thereus_longitude,0.006636012893608887
02,aggression_kleinman_longitude,0.005731815801888931
02,aggression_sekhmet_longitude,0.005836159164020446
02,aggression_tyson_longitude,0.007616560568850163
02,aggression_schubart_longitude,0.005461436533535613
02,aggression_aristaeus_longitude,0.005626296506970717
02,aggression_toro_longitude,0.006520832990301787
02,aggression_amphimachus_longitude,0.011700333997858454
02,aggression_balbastre_longitude,0.005502645955076154
02,mayhem_rhiphonos_longitude,0.005808371678895219
02,mayhem_chaos_longitude,0.012084987039702037
02,mayhem_phaeton_longitude,0.008095368585795468
02,mayhem_wild_longitude,0.005521910980671548
02,mayhem_hybris_longitude,0.007003040517402608
02,mayhem_hel_longitude,0.00546958948886771
02,mayhem_apophis_longitude,0.015035356494283583
02,explosive_pholus_longitude,0.006295256233680455
02,explosive_tl66_longitude,0.005627857290434274
02,explosive_bomben_longitude,0.006607726905927871
02,explosive_bombig_longitude,0.005047821910928625
02,explosive_bam_longitude,0.007484679178865444
02,explosive_salpeter_longitude,0.006405346744841844
02,explosive_salpetriere_longitude,0.007012563625157286
02,victims_pain_sedna_longitude,0.01848287437640602
02,victims_pain_chiron_longitude,0.014734824885624382
02,victims_pain_dejanira_longitude,0.007640224667678708
02,victims_pain_nyctimene_longitude,0.005733604017505242
02,victims_pain_sado_longitude,0.008349075428205852
02,victims_pain_paine_longitude,0.007070708970778632
02,victims_pain_lacrimosa_longitude,0.008703347996096997
02,victims_pain_grieve_longitude,0.009131231405476906
02,victims_pain_sisyphus_longitude,0.00647126901598848
02,death_kaali_longitude,0.005431253034410341
02,death_crantor_longitude,0.005420068466818767
02,death_pyramus_longitude,0.0068948672873817875
02,death_thisbe_longitude,0.005084930668925927
02,death_eurydike_longitude,0.007147482536637206
02,firearms_gunn_longitude,0.006864275231000483
02,firearms_gunnie_longitude,0.009939090471897718
02,firearms_gunma_longitude,0.0067061284406185915
02,firearms_shotwell_longitude,0.006939889861804195
02,knives_cutts_longitude,0.006380491442745623
02,knives_cutillo_longitude,0.008544171603764368
02,knives_sharp_longitude,0.007448476250036977
02,prostitution_pylenor_longitude,0.006130253691493947
02,prostitution_kythera_longitude,0.005670838243734475
02,prostitution_poutanen_longitude,0.0060041094898118375
02,prostitution_messalina_longitude,0.005876621577193547
02,prostitution_slettebak_longitude,0.007358609305513217
02,prostitution_lust_longitude,0.00635777980978144
02,drugs_dionysus_longitude,0.005585101698576996
02,drugs_bacchus_longitude,0.009495264405506843
02,drugs_beer_longitude,0.0041513615303951645
02,drugs_syringa_longitude,0.007365577253514844
02,drugs_syrinx_longitude,0.006225726594494249
02,drugs_pillmore_longitude,0.005132171139304802
02,drugs_datura_longitude,0.006737365158626067
02,money_midas_longitude,0.006039990764081951
02,money_mony_longitude,0.006200966573900573
02,money_gold_longitude,0.0057055552267074846
02,money_golden_longitude,0.007836222933370258
02,money_goldfinger_longitude,0.006756389197862124
02,money_goldreich_longitude,0.006709589175030843
02,money_silver_longitude,0.005613488340700205
02,fire_pyrrhus_longitude,0.0071944599801884515
02,fire_burnett_longitude,0.005036631017402901
02,fire_burney_longitude,0.007028565651130431
02,fire_burns_longitude,0.005839457284199986
02,fire_burnim_longitude,0.006909264392562525
02,fire_fireman_longitude,0.006310091207779335
02,obstacles_alu_longitude,0.008265483118308182
02,obstacles_hinderer_longitude,0.008150084957534547
02,obstacles_lysistrata_longitude,0.008306522418346191
02,dishonesty_lie_longitude,0.005670550719309215
02,dishonesty_swindle_longitude,0.008575543026509614
02,dishonesty_cardea_longitude,0.006464992154626107
02,computer_hack_longitude,0.007967635316394401
02,computer_hackman_longitude,0.005951286332179208
02,law_justice_polizzi_longitude,0.007850921086540263
02,law_justice_polit_longitude,0.007101473502347244
02,law_justice_justitia_longitude,0.006333966710965275
02,law_justice_dike_longitude,0.00671280347616267
02,law_justice_themis_longitude,0.006419010484281418
02,law_justice_richthammer_longitude,0.01084112765902608
02,localization_chicago_longitude,0.005535629851013987
02,localization_chikako_longitude,0.005896628898567871
02,localization_cook_longitude,0.00978184202917336
04A,27,0.0005422122019336841
04A,sun_longitude,0.04578586749326011
04A,moon_longitude,0.010850772029060138
04A,mercury_longitude,0.03866630174745793
04A,venus_longitude,0.02799161925891909
04A,mars_longitude,0.004620194928920466
04A,jupiter_longitude,0.010306160762673964
04A,saturn_longitude,0.022246573818358123
04A,uranus_longitude,0.039591528045438126
04A,neptune_longitude,0.019776114146977313
04A,pluto_longitude,0.01812769758064612
04A,moon_phase,0.011588568694592983
04A,moon_distance,0.01028766311077931
04A,ascendant,0.02088257795871586
04A,midheaven,0.042667131802673335
04A,north_node,0.036185673165104945
04A,south_node,0.027395446051417374
04A,mercury_retrograde,0.0003679285458955683
